time,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,qvel_21,qvel_22,qvel_23,qvel_24,qvel_25,qvel_26,qvel_27,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14,ctrl_15
0.002,-1.2082076014114467e-20,1.2805524914399444e-21,0.99996076,1.0,9.237928198358364e-20,0.0,0.0,0.0,2.4189371178959463e-21,-5.075800693314852e-07,-7.593633892894584e-21,2.818142831009253e-20,2.4182948085178536e-21,-2.740130943241434e-06,0.00019177169266019778,-6.462222171051372e-05,4.462946529321809e-05,-2.638116522645734e-06,1.6694981086254558e-07,3.7609635615076386e-08,-3.7688632335356764e-08,1.9076108130343344e-06,0.00018985046017038604,-6.484587602637368e-05,4.39209474916332e-05,1.4624310684501068e-06,1.2646942428827514e-07,-3.3670139062541556e-08,3.36102966062879e-08,-6.041038007057233e-18,6.402762457199722e-19,-0.019620000000000047,-1.2490009027033013e-19,-9.237055564881303e-17,-1.263561988761919e-18,0.0,1.2094685589479732e-18,-0.0002537900346657426,-3.7968169464472914e-18,1.4090714155046264e-17,1.2091474042589268e-18,-0.001370065471620717,0.09588584633009889,-0.03231111085525686,0.022314732646609044,-0.0013190582613228671,8.347490543127278e-05,1.8804817807538193e-05,-1.884431616767838e-05,0.0009538054065171671,0.09492523008519302,-0.03242293801318684,0.0219604737458166,0.0007312155342250533,6.323471214413756e-05,-1.6835069531270777e-05,1.680514830314395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,-3.6246199491605964e-20,3.810964135569126e-21,0.99988228,1.0,2.7713742954349477e-19,0.0,0.0,-6.911248908274133e-22,2.409299918223054e-21,-1.3021068886772352e-06,-3.0876838202625836e-20,5.71915974797854e-20,2.6790031707744253e-21,-1.0849678288362689e-05,0.0005637002537266999,-0.00016857235410947484,6.406431384472957e-05,-9.052187064444683e-06,4.2686666969955625e-07,1.4030633558410853e-07,-1.4043338571086927e-07,9.381241369948932e-06,0.0005567090167808826,-0.0001694158098641013,6.180887203184634e-05,6.947699943215628e-06,2.433308410544206e-07,-1.2963822199880854e-07,1.3774404176638838e-07,-1.2082061738745748e-17,1.2652058220645908e-18,-0.039240000000000094,-2.4980018054066025e-19,-1.8474111129762606e-16,-2.4964947742451496e-18,-3.455624454137066e-19,-4.818599836446e-21,-0.00039726340967287496,-1.1641602154865626e-17,1.4505084584846438e-17,1.3035418112828575e-19,-0.004054773672560627,0.18596428053325106,-0.05197506619948056,0.009717424275755745,-0.0032070352708994743,0.00012995842941850532,5.134834998451607e-05,-5.1372376687756246e-05,0.003736815278457299,0.1834292783052483,-0.05228496691886381,0.008943962270106567,0.0027426344373827605,5.8430708383072735e-05,-4.7984041468133486e-05,5.2066872580050234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,-7.249242753394937e-20,7.652621609888958e-21,0.99976456,1.0,5.542753194482293e-19,0.0,0.0,-2.0706211868614135e-21,1.3630137775268626e-21,-2.2483462429702703e-06,-3.2416972339845415e-20,9.98160659522949e-20,-2.1294803402931015e-21,-2.6499315930714422e-05,0.001101933027018315,-0.0003034624697276033,4.424124224445264e-05,-1.942316626833142e-05,6.353848193008698e-07,3.06986507003275e-07,-3.0708501624868427e-07,2.58049951199709e-05,0.0010846281379347411,-0.00030555665106362035,3.913399742958291e-05,1.7628047819718286e-05,1.581717067058246e-07,-3.056037138754723e-07,3.2685001179522717e-07,-1.81231140211717e-17,1.9208287371599164e-18,-0.05886000000000014,-3.053113317719181e-19,-2.771116669464391e-16,-3.800111578001006e-18,-6.89748148017e-19,-5.231430703480958e-19,-0.00047311967714651744,-7.700670686097884e-19,2.1312234236254746e-17,-2.4042417555337633e-18,-0.007824818821175866,0.26911638664580745,-0.06744505780906422,-0.009911535800138467,-0.005185489601943368,0.00010425907480065676,8.334008570958323e-05,-8.332581526890751e-05,0.008211876875010984,0.2639595605769293,-0.0680704205997595,-0.011337437301131714,0.005340173938251329,-4.2579567174298006e-05,-8.798274593833188e-05,9.45529850144194e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-1.2082061738745749e-19,1.2652058220645907e-20,0.9996076,1.0,9.23791292020158e-19,0.0,0.0,-3.0990590363022887e-21,3.2089610751073543e-22,-3.263908328628063e-06,-2.4925215024120998e-20,1.25471432064782e-19,-1.4739341081101544e-20,-5.13540619950694e-05,0.0017923827335485608,-0.0004650222739493838,-1.5989516501838375e-05,-3.3372857303338906e-05,6.583946844938524e-07,5.217244824439299e-07,-5.217317768787835e-07,5.424544250119173e-05,0.0017567147430408597,-0.0004693023841212765,-2.582352629661777e-05,3.384347362783157e-05,-2.843612640479179e-07,-5.650744673312468e-07,5.962824827839606e-07,-2.4164094926754062e-17,2.4997183053784745e-18,-0.07848000000000019,-4.163336342344341e-20,-3.6948222259525213e-16,-4.993940179253574e-18,-5.142189247204376e-19,-5.210588350080636e-19,-0.0005077810428288965,3.745878657862208e-18,1.2827683056243546e-17,-6.304930370404221e-18,-0.012427373032177488,0.345224853265123,-0.08077990211089026,-0.030115379373145505,-0.006974845517503742,1.1504932596491315e-05,0.0001073689877203274,-0.00010732338031504964,0.014220223690610411,0.3360433025530593,-0.08187286652882808,-0.03247876186310034,0.008107712904056642,-0.00022126648537687123,-0.00012973537672788724,0.0001347162354943667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-1.8123088325508008e-19,1.89320473228428e-20,0.9994114000000001,1.0,1.3856864888327418e-18,0.0,0.0,-3.777837078379493e-21,-2.099319480933062e-21,-4.299076375954897e-06,-2.0632834364182208e-20,1.324210006618902e-19,-2.456280027702349e-20,-8.660530075869463e-05,0.0026212238310113194,-0.0006501026997504681,-0.00011484913011563987,-5.024343304339277e-05,3.8660862135820956e-07,7.637811374513938e-07,-7.636648775885191e-07,9.7397291178369e-05,0.0025557869703024495,-0.0006578497011738472,-0.00013187385009915195,5.5414124758320016e-05,-1.1868719581675924e-06,-9.019463275844299e-07,9.30475811317897e-07,-3.020513293381129e-17,3.1399945510984465e-18,-0.09810000000000024,-1.6653345369377353e-19,-4.618527782440651e-16,-6.257502168015493e-18,-3.3938902103860245e-19,-1.2101077942218988e-18,-0.0005175840236634169,2.1461903299693952e-18,3.47478429855411e-18,-4.9117295979609745e-18,-0.01762561938181262,0.4144205487313793,-0.09254021290054215,-0.04942980680690075,-0.008435287870026932,-0.0001358930315678214,0.00012102832750373195,-0.00012096655035486774,0.02157592433858864,0.3995361136307948,-0.09427365852628536,-0.05302516190126709,0.010785325565244225,-0.00045125534705983726,-0.00016843593012659153,0.00016709666426696816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,-2.5372322513681715e-19,2.6492588916479637e-20,0.9991759600000001,1.0,1.939961024971014e-18,0.0,0.0,-4.799473270882049e-21,-4.855455221609515e-21,-5.324309612028385e-06,-1.2755268676661324e-20,1.0164517553900364e-19,-4.013160376263521e-20,-0.000133027193521385,0.0035750332510413752,-0.0008559645405387918,-0.0002499531455005682,-6.927534905020809e-05,-2.634107430824898e-07,1.0131333174597751e-06,-1.0128894657906907e-06,0.00015754806307323249,0.003464669094044439,-0.0008688155941954744,-0.00027719633745651315,8.184903834257377e-05,-2.6046810039711144e-06,-1.285214774617365e-06,1.3089517631534666e-06,-3.6246170940868525e-17,3.7802707968184185e-18,-0.1177200000000003,-2.2204460492503136e-19,-5.542233338928781e-16,-7.530489768492661e-18,-5.10818096251278e-19,-1.3780678703382266e-18,-0.0005126166180367439,3.9387828437604424e-18,-1.5387912561443287e-17,-7.78440174280586e-18,-0.02321094638134519,0.47690471001502777,-0.10293092039416182,-0.06755200769246415,-0.00951595800340766,-0.0003250096822203497,0.0001246760900041907,-0.00012461229410108582,0.030075385947431733,0.45444106187099476,-0.10548294651081357,-0.0726612436786806,0.013217456792126879,-0.0007089045229017608,-0.00019163422351646753,0.00018923797591778482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,-3.382975859311938e-19,3.5272296324055004e-20,0.9989012800000001,1.0,2.5866145999903454e-18,0.0,0.0,-6.853726535910575e-21,-8.637297678046305e-21,-6.322502181332846e-06,-3.5015086243719174e-20,6.348176604380257e-20,-6.357467823291203e-20,-0.0001910388991509705,0.004640844201211271,-0.001080101333869757,-0.0004188486921284081,-8.97129864801499e-05,-1.3506699624069696e-06,1.253050459903781e-06,-1.2526962527485809e-06,0.00023656796975681405,0.004466389767687565,-0.0011000333612720193,-0.00045984736992896175,0.00011246051977059705,-4.551928211940802e-06,-1.6915988769236267e-06,1.7109580275617598e-06,-4.2287180397188324e-17,4.389853703787684e-18,-0.13734000000000035,4.163336342344331e-20,-6.465938895416912e-16,-8.785576776302605e-18,-1.027126632514263e-18,-1.8909212282183953e-18,-0.0004990962846522308,-1.1129908783528927e-17,-1.9081704747600528e-17,-1.1721537235138407e-17,-0.029005852814792746,0.5329054750849477,-0.1120683966654826,-0.08444777331391995,-0.010218818714970901,-0.0005436296096622399,0.00011995857122200297,-0.00011990339347894502,0.03950995334179078,0.500860336821563,-0.11560888353827248,-0.0913255162362243,0.015305740714011643,-0.0009736236039848438,-0.00020319205115313082,0.00020100313220414658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,-4.349539656382101e-19,4.52711695455689e-20,0.9985873600000001,1.0,3.32564716534478e-18,0.0,0.0,-7.863108188741693e-21,-1.4131885260131563e-20,-7.284189363377125e-06,-8.711175149066874e-20,2.66800196594884e-20,-8.303006218858916e-20,-0.0002607650072820448,0.0058061759319388215,-0.0013201880617627541,-0.0006191360509817562,-0.00011086243523139272,-2.9116003137633943e-06,1.470951680476576e-06,-1.4705183260208947e-06,0.0003359108512229767,0.005544344841747342,-0.0013494798298290447,-0.0006778605500479632,0.000146460506162175,-7.011768484164877e-06,-2.10130132082131e-06,2.117121480533673e-06,-4.8328189853508123e-17,4.999436610756949e-18,-0.1569600000000004,2.359223927328457e-19,-7.389644451905042e-16,-1.0031238172397298e-17,-5.046908264155586e-19,-2.7472937910426283e-18,-0.00048084359102213916,-2.6048332623474777e-17,-1.8400873192157085e-17,-9.727691977838562e-18,-0.03486305406553715,0.5826658653637754,-0.12004336394649862,-0.10014367942667403,-0.010574724375621413,-0.0007804651756782124,0.00010895061028639747,-0.00010891103663615689,0.04967144073308131,0.5389775370298882,-0.12472323427851276,-0.10900659005950071,0.01699999319578897,-0.0012299201361120372,-0.00020485122194884164,0.0002030817264859567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018000000000000002,-5.436924499100782e-19,5.658128859727345e-20,0.9982342000000002,1.0,4.1570594548293975e-18,0.0,0.0,-9.214030846138584e-21,-1.8913457164209786e-20,-8.20458017821963e-06,-1.373852434120199e-19,1.8024178692512277e-21,-9.842810421058471e-20,-0.0003420908228223954,0.007059054384227615,-0.0015740602776719566,-0.0008484939743143284,-0.00013211890527037418,-4.962126303887307e-06,1.658336202872816e-06,-1.6578626224265302e-06,0.0004560612981459898,0.006683211170912026,-0.0016151489470102509,-0.0009289710485434392,0.00018252237532616304,-9.943201682584224e-06,-2.4888445670985656e-06,2.501911351953091e-06,-5.4369242135934077e-17,5.655059525852274e-18,-0.17658000000000046,1.8041124150158786e-19,-8.313350008393172e-16,-1.1334854976153154e-17,-6.754613286984456e-19,-2.3907859520391104e-18,-0.00046019540742125287,-2.513674596067557e-17,-1.2438800895118587e-17,-7.699021010997773e-18,-0.04066290777017532,0.626439226144397,-0.12693610795460125,-0.11467896166628609,-0.010628235019490732,-0.0010252629950619568,9.369226119812008e-05,-9.367214820281769e-05,0.06007522346150654,0.5694331645823425,-0.13283455859060309,-0.125555249247738,0.01803093458199402,-0.001465716599209674,-0.00019377162313862772,0.0001923949357097089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020000000000000004,-6.645130101960608e-19,6.917196014041794e-20,0.9978418000000002,1.0,5.080851059241083e-18,0.0,0.0,-1.0559571341553814e-20,-2.3330416535607056e-20,-9.081721705491096e-06,-1.7361647418264208e-19,6.699000165210733e-21,-1.1217959021837051e-19,-0.0004347111607504679,0.008388027448797157,-0.0018397012842851178,-0.0011046831256012134,-0.0001529756186004831,-7.4999590258579835e-06,1.8102678722887364e-06,-1.8097957221676964e-06,0.0005924793525817067,0.007874685449469435,-0.0018943666423802174,-0.0012086626185141601,0.00021543961715751473,-1.3278375648887643e-05,-2.7644328330996832e-06,2.7753722728974042e-06,-6.041028014299131e-17,6.295335771572246e-18,-0.1962000000000005,1.2490009027033003e-19,-9.237055564881303e-16,-1.2607842576630323e-17,-6.727702477076151e-19,-2.208479685698635e-18,-0.00043857076363573353,-1.8115615385311097e-17,2.4482911479797526e-18,-6.875743003892907e-18,-0.04631016896403625,0.6644865322847705,-0.13282050330658066,-0.12809457564344254,-0.010428356665054464,-0.0012689163609853381,7.596583470796015e-05,-7.596654987058313e-05,0.06820902721785846,0.5957371392787044,-0.13960884768498324,-0.13984578498536043,0.016458620915675848,-0.0016675869831517093,-0.0001377941330005587,0.00013673046047215666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
